marque;modele;annee;age_voiture;carburant;boite_vitesse;kilometrage;puissance_fiscale_cv;puissance_reelle_ch;prix;code_postal;url_annonce
Dacia;Sandero;2022;4;essence;Manuelle;55144;5;90;13999;77;https://www.autosphere.fr/fiche/auto-occasion-dacia-sandero-1-0-tce-90ch-stepway-confort-22-77100-nanteuil-les-meaux-037396
Renault;Clio;2023;3;essence;Manuelle;24073;5;90;15499;51;https://www.autosphere.fr/fiche/auto-occasion-renault-clio-1-0-tce-90ch-equilibre-51100-reims-948203
Dacia;Sandero;2020;6;gpl;Manuelle;61220;5;100;11586;38;https://www.autosphere.fr/fiche4/auto-occasion-dacia-sandero-1-0-eco-g-100ch-stepway-38300-bourgoin-jallieu-233588
Citroen;C5 Aircross;2020;6;essence;Manuelle;98700;7;130;13980;51;https://www.autosphere.fr/fiche4/auto-occasion-citroen-c5-aircross-puretech-130ch-s-s-shine-e6-d-temp-51100-reims-000995
Renault;Clio;2023;3;gpl;Manuelle;28395;5;100;15399;59;https://www.autosphere.fr/fiche-mixte/auto-occasion-renault-clio-1-0-tce-100ch-evolution-gpl-59850-nieppe-250628
Peugeot;3008;2022;4;hybride;Automatique;59872;10;225;25499;64;https://www.autosphere.fr/fiche-mixte/auto-occasion-peugeot-3008-hybrid-225ch-allure-pack-e-eat8-64140-billere-202967
Renault;Clio;2022;4;hybride;Automatique;39937;5;140;17999;62;https://www.autosphere.fr/fiche/auto-occasion-renault-clio-1-6-e-tech-hybride-140ch-intens-21n-62000-arras-451328
Renault;Zoé;2021;5;électrique;Automatique;65512;4;109;11499;57;https://www.autosphere.fr/fiche/auto-occasion-renault-zoe-e-tech-life-charge-normale-r110-achat-integral-21-57180-terville-241973
Renault;Arkana;2021;5;essence;Automatique;27092;7;140;19999;59;https://www.autosphere.fr/fiche-mixte/auto-occasion-renault-arkana-1-3-tce-140ch-fap-intens-edc-21b-59640-dunkerque-601171
Ford;Puma;2022;4;e85;Manuelle;29677;6;125;19699;59;https://www.autosphere.fr/fiche-mixte/auto-occasion-ford-puma-1-0-flexifuel-125ch-s-s-mhev-st-line-59494-petite-foret-6218672
Citroen;C3;2022;4;essence;Manuelle;30449;4;83;9980;8;https://www.autosphere.fr/fiche-mixte/auto-occasion-citroen-c3-1-2-puretech-83ch-s-s-you-08000-charleville-mezieres-383
Renault;Clio;2023;3;essence;Manuelle;13317;5;90;15499;3;https://www.autosphere.fr/fiche-mixte/auto-occasion-renault-clio-1-0-tce-90ch-equilibre-03110-charmeil-3000623
Ford;Puma;2023;3;e85;Manuelle;28529;6;125;18299;59;https://www.autosphere.fr/fiche-mixte/auto-occasion-ford-puma-1-0-flexifuel-125ch-s-s-mhev-titanium-59494-petite-foret-6218462
Peugeot;208;2024;2;essence;Automatique;7943;5;100;18799;63;https://www.autosphere.fr/fiche-mixte/auto-occasion-peugeot-208-1-2-hybrid-100ch-active-e-dcs6-63000-clermont-ferrand-1002536
Mitsubishi;Eclipse Cross;2023;3;hybride;Automatique;5;5;188;32999;54;https://www.autosphere.fr/fiche-mixte/auto-occasion-mitsubishi-eclipse-cross-2-4-mivec-phev-188ch-instyle-4wd-2023-54135-mexy-241087
Mitsubishi;Eclipse Cross;2024;2;hybride;Automatique;100;5;188;29799;92;https://www.autosphere.fr/fiche-mixte/auto-occasion-mitsubishi-eclipse-cross-2-4-mivec-phev-188ch-instyle-4wd-92220-bagneux-41581
Renault;Captur;2023;3;essence;Manuelle;26304;5;90;18299;13;https://www.autosphere.fr/fiche/auto-occasion-renault-captur-1-0-tce-90ch-techno-13100-aix-en-provence-881829
Renault;Clio;2023;3;essence;Manuelle;11659;5;90;15499;64;https://www.autosphere.fr/fiche-mixte/auto-occasion-renault-clio-1-0-tce-90ch-evolution-64140-billere-203028
Mitsubishi;Eclipse Cross;2023;3;hybride;Automatique;49768;5;188;25999;62;https://www.autosphere.fr/fiche/auto-occasion-mitsubishi-eclipse-cross-2-4-mivec-phev-188ch-intense-design-4wd-62232-fouquieres-les-bethune-250563
Renault;Clio;2023;3;essence;Manuelle;31849;4;65;12999;2;https://www.autosphere.fr/fiche-mixte/auto-occasion-renault-clio-1-0-sce-65ch-authentic-02000-laon-250932
Citroen;C3;2023;3;essence;Manuelle;13727;4;83;12499;86;https://www.autosphere.fr/fiche/auto-occasion-citroen-c3-1-2-puretech-83ch-s-s-shine-86000-poitiers-12092854
Renault;Clio;2024;2;essence;Manuelle;25620;5;90;14999;16;https://www.autosphere.fr/fiche-mixte/auto-occasion-renault-clio-1-0-tce-90ch-evolution-16430-champniers-127965
Peugeot;208;2024;2;essence;Automatique;7919;5;100;18499;79;https://www.autosphere.fr/fiche-mixte/auto-occasion-peugeot-208-1-2-hybrid-100ch-active-e-dcs6-79000-niort-1242721
Mitsubishi;Eclipse Cross;2023;3;hybride;Automatique;12;5;188;32799;59;https://www.autosphere.fr/fiche-mixte/auto-occasion-mitsubishi-eclipse-cross-2-4-mivec-phev-188ch-black-collection-4wd-2023-59850-nieppe-250462
Peugeot;208;2025;1;essence;Automatique;100;5;110;19990;64;https://www.autosphere.fr/fiche-mixte/auto-occasion-peugeot-208-1-2-hybrid-110ch-style-e-dcs6-64121-serres-castet-7790
Peugeot;208;2024;2;essence;Manuelle;12532;5;100;15599;63;https://www.autosphere.fr/fiche-mixte/auto-occasion-peugeot-208-1-2-puretech-100ch-s-s-active-63000-clermont-ferrand-1002665
Citroen;C3;2023;3;essence;Manuelle;40012;4;83;11499;86;https://www.autosphere.fr/fiche-mixte/auto-occasion-citroen-c3-1-2-puretech-83ch-s-s-shine-86000-poitiers-12092150
Peugeot;208;2024;2;essence;Automatique;14340;5;100;18299;59;https://www.autosphere.fr/fiche-mixte/auto-occasion-peugeot-208-1-2-hybrid-100ch-active-e-dcs6-59223-roncq-512160
Renault;Clio;2023;3;essence;Manuelle;11983;5;90;15499;57;https://www.autosphere.fr/fiche/auto-occasion-renault-clio-1-0-tce-90ch-equilibre-57155-marly-226745
Dacia;Sandero;2023;3;gpl;Manuelle;25747;5;100;13290;59;https://www.autosphere.fr/fiche-mixte/auto-occasion-dacia-sandero-1-0-eco-g-100ch-essential-59190-hazebrouck-350597
Nissan;Qashqai;2022;4;hybride;Automatique;18139;8;190;29900;69;https://www.autosphere.fr/fiche4/auto-occasion-nissan-qashqai-e-power-190ch-tekna-2022-69200-venissieux-617846
Dacia;Jogger;2025;1;gpl;Manuelle;5801;5;100;21999;59;https://www.autosphere.fr/fiche-mixte/auto-occasion-dacia-jogger-1-0-eco-g-100ch-extreme-7-places-24-59850-nieppe-250504
Renault;Clio;2025;1;diesel;Manuelle;16709;5;100;19799;62;https://www.autosphere.fr/fiche/auto-occasion-renault-clio-1-5-dci-100ch-evolution-25-62218-loison-sous-lens-251234
Mini;Mini;2023;3;essence;Automatique;45523;7;136;24299;64;https://www.autosphere.fr/fiche-mixte/auto-occasion-mini-mini-cooper-136ch-edition-camden-bva7-64100-bayonne-122447
Renault;Clio;2025;1;hybride;Automatique;8308;5;145;22999;59;https://www.autosphere.fr/fiche-mixte/auto-occasion-renault-clio-1-6-e-tech-145ch-full-hybrid-evolution-59640-dunkerque-601130
Peugeot;208;2021;5;électrique;Automatique;51651;4;136;14280;38;https://www.autosphere.fr/fiche-mixte/auto-occasion-peugeot-208-e-208-136ch-allure-pack-38000-grenoble-115363
Dacia;Sandero;2025;1;essence;Manuelle;9472;5;90;18499;62;https://www.autosphere.fr/fiche-mixte/auto-occasion-dacia-sandero-1-0-tce-90ch-stepway-extreme-24-62800-lievin-241119
Peugeot;208;2024;2;essence;Automatique;13213;5;100;18799;60;https://www.autosphere.fr/fiche-mixte/auto-occasion-peugeot-208-1-2-hybrid-100ch-active-e-dcs6-60740-saint-maximin-1020048
Renault;Captur;2022;4;hybride;Automatique;28946;5;145;20990;25;https://www.autosphere.fr/fiche4/auto-occasion-renault-captur-1-6-e-tech-hybride-145ch-rs-line-21-25000-besancon-195566
Renault;Captur;2025;1;hybride;Automatique;4407;5;145;30299;57;https://www.autosphere.fr/fiche-mixte/auto-occasion-renault-captur-1-6-e-tech-full-hybrid-145ch-esprit-alpine-57000-metz-226767
Dacia;Duster;2025;1;gpl;Manuelle;6038;5;100;24299;62;https://www.autosphere.fr/fiche/auto-occasion-dacia-duster-1-0-eco-g-100ch-journey-62231-coquelles-251384
Mitsubishi;Eclipse Cross;2023;3;hybride;Automatique;100;5;188;32980;51;https://www.autosphere.fr/fiche-mixte/auto-occasion-mitsubishi-eclipse-cross-2-4-mivec-phev-188ch-instyle-4wd-2023-51100-reims-13994
Renault;Captur;2023;3;essence;Manuelle;39294;5;90;15999;93;https://www.autosphere.fr/fiche/auto-occasion-renault-captur-1-0-tce-90ch-evolution-93250-villemomble-v123512
Renault;Clio;2025;1;diesel;Manuelle;8368;5;100;19799;62;https://www.autosphere.fr/fiche/auto-occasion-renault-clio-1-5-dci-100ch-evolution-25-62218-loison-sous-lens-251225
Renault;Clio;2023;3;essence;Manuelle;10838;5;90;15299;86;https://www.autosphere.fr/fiche/auto-occasion-renault-clio-1-0-tce-90ch-equilibre-86100-chatellerault-1231850
Renault;Captur;2024;2;essence;Manuelle;19514;5;90;16999;73;https://www.autosphere.fr/fiche/auto-occasion-renault-captur-1-0-tce-90ch-evolution-73200-albertville-250935
Dacia;Duster;2025;1;hybride;Automatique;5280;5;140;28499;51;https://www.autosphere.fr/fiche/auto-occasion-dacia-duster-1-6-hybrid-140ch-extreme-51100-reims-448079
Renault;Clio;2024;2;hybride;Automatique;12127;5;145;19980;1;https://www.autosphere.fr/fiche4/auto-occasion-renault-clio-1-6-e-tech-145ch-full-hybrid-evolution-24-01000-bourg-en-bresse-160159
Renault;Clio;2021;5;essence;Manuelle;14872;4;65;12599;13;https://www.autosphere.fr/fiche/auto-occasion-renault-clio-1-0-sce-65ch-business-21-13800-istres-023841
Peugeot;208;2023;3;électrique;Automatique;12100;4;136;19489;38;https://www.autosphere.fr/fiche-mixte/auto-occasion-peugeot-208-e-208-136ch-allure-pack-38300-bourgoin-jallieu-10017
Peugeot;208;2024;2;essence;Automatique;32970;5;100;18990;51;https://www.autosphere.fr/fiche-mixte/auto-occasion-peugeot-208-1-2-hybrid-100ch-active-e-dcs6-51530-dizy-cr000293
Peugeot;208;2023;3;diesel;Manuelle;85071;5;100;13280;1;https://www.autosphere.fr/fiche4/auto-occasion-peugeot-208-1-5-bluehdi-100ch-s-s-active-01000-bourg-en-bresse-128155
Dacia;Duster;2025;1;hybride;Automatique;8383;5;140;26499;10;https://www.autosphere.fr/fiche-mixte/auto-occasion-dacia-duster-1-6-hybrid-140ch-journey-10000-troyes-025347
Dacia;Duster;2025;1;gpl;Manuelle;1575;5;100;22980;38;https://www.autosphere.fr/fiche4/auto-occasion-dacia-duster-1-0-eco-g-100ch-journey-38110-saint-jean-de-soudain-tdp406940
Ford;Puma;2023;3;e85;Manuelle;29679;6;125;20299;59;https://www.autosphere.fr/fiche-mixte/auto-occasion-ford-puma-1-0-flexifuel-125ch-s-s-mhev-st-line-x-59400-cambrai-7018382
Citroen;C3;2023;3;diesel;Manuelle;49020;5;100;13299;16;https://www.autosphere.fr/fiche-mixte/auto-occasion-citroen-c3-1-5-bluehdi-100ch-s-s-plus-16430-champniers-128224
Renault;Clio;2024;2;essence;Manuelle;4632;5;90;17299;57;https://www.autosphere.fr/fiche/auto-occasion-renault-clio-1-0-tce-90ch-evolution-24-57200-sarreguemines-008479
Dacia;Jogger;2022;4;gpl;Manuelle;35076;5;100;17999;62;https://www.autosphere.fr/fiche/auto-occasion-dacia-jogger-1-0-eco-g-100ch-extreme-7-places-62232-fouquieres-les-bethune-250482
Dacia;Sandero;2022;4;gpl;Manuelle;28344;5;100;13990;25;https://www.autosphere.fr/fiche4/auto-occasion-dacia-sandero-1-0-eco-g-100ch-stepway-confort-22-25300-pontarlier-663449
Peugeot;2008;2008;18;essence;Manuelle;24425;5;100;16980;38;https://www.autosphere.fr/fiche-mixte/auto-occasion-peugeot-2008-1-2-puretech-100ch-s-s-active-38000-grenoble-115572
Renault;Mégane;2022;4;diesel;Automatique;75995;6;115;17799;13;https://www.autosphere.fr/fiche/auto-occasion-renault-megane-1-5-blue-dci-115ch-intens-edc-21n-13300-salon-de-provence-302908
Peugeot;208;2024;2;essence;Manuelle;9907;5;100;14990;92;https://www.autosphere.fr/fiche-mixte/auto-occasion-peugeot-208-1-2-puretech-100ch-s-s-active-92600-asnieres-sur-seine-003226
Renault;Clio;2023;3;essence;Manuelle;12277;5;90;15990;25;https://www.autosphere.fr/fiche4/auto-occasion-renault-clio-1-0-tce-90ch-equilibre-25000-besancon-195268
Renault;Captur;2022;4;hybride;Automatique;49956;5;145;20999;59;https://www.autosphere.fr/fiche/auto-occasion-renault-captur-1-6-e-tech-hybride-145ch-rs-line-21-59320-sequedin-233788
Peugeot;2008;2008;18;essence;Manuelle;10;5;100;22799;13;https://www.autosphere.fr/fiche-mixte/auto-occasion-peugeot-2008-1-2-100ch-s-s-allure-13100-aix-en-provence-95435
Renault;Clio;2024;2;essence;Manuelle;17207;5;90;16499;13;https://www.autosphere.fr/fiche/auto-occasion-renault-clio-1-0-tce-90ch-evolution-24-13300-salon-de-provence-302976
Renault;Mégane;2022;4;diesel;Manuelle;53947;6;115;17799;2;https://www.autosphere.fr/fiche-mixte/auto-occasion-renault-megane-1-5-blue-dci-115ch-intens-21n-02300-chauny-250537
Renault;Clio;2025;1;diesel;Manuelle;6998;5;100;19999;3;https://www.autosphere.fr/fiche-mixte/auto-occasion-renault-clio-1-5-blue-dci-100ch-evolution-24-03110-charmeil-3000698
Peugeot;2008;2008;18;électrique;Automatique;10;4;136;23299;63;https://www.autosphere.fr/fiche-mixte/auto-occasion-peugeot-2008-e-2008-136ch-active-pack-63000-clermont-ferrand-1001915
Renault;Arkana;2022;4;essence;Automatique;21086;7;140;21499;59;https://www.autosphere.fr/fiche-mixte/auto-occasion-renault-arkana-1-3-tce-mild-hybrid-140ch-rs-line-edc-22-59160-lomme-6046
Peugeot;208;2025;1;essence;Automatique;10;5;100;21299;13;https://www.autosphere.fr/fiche-mixte/auto-occasion-peugeot-208-1-2-hybrid-100ch-allure-e-dcs6-13100-aix-en-provence-95502
Renault;Captur;2025;1;hybride;Automatique;11795;5;145;25980;38;https://www.autosphere.fr/fiche4/auto-occasion-renault-captur-1-6-e-tech-full-hybrid-145ch-techno-38150-salaise-sur-sanne-2368
Nissan;Qashqai;2022;4;hybride;Automatique;22692;8;190;28975;1;https://www.autosphere.fr/fiche4/auto-occasion-nissan-qashqai-e-power-190ch-n-connecta-2022-01000-bourg-en-bresse-125212
Dacia;Sandero;2021;5;gpl;Manuelle;56646;5;100;13490;2;https://www.autosphere.fr/fiche/auto-occasion-dacia-sandero-1-0-eco-g-100ch-stepway-confort-02500-hirson-250525
Peugeot;3008;2022;4;hybride;Automatique;58815;10;225;25499;63;https://www.autosphere.fr/fiche-mixte/auto-occasion-peugeot-3008-hybrid-225ch-gt-pack-e-eat8-63000-clermont-ferrand-1002272
Renault;Clio;2023;3;essence;Manuelle;26474;5;90;14999;51;https://www.autosphere.fr/fiche/auto-occasion-renault-clio-1-0-tce-90ch-equilibre-51100-reims-948106
Renault;Clio;2021;5;essence;Manuelle;48797;5;90;14499;59;https://www.autosphere.fr/fiche/auto-occasion-renault-clio-1-0-tce-90ch-intens-21-59470-wormhout-250758
Mini;Mini;2023;3;électrique;Automatique;18611;5;184;21499;13;https://www.autosphere.fr/fiche/auto-occasion-mini-mini-cooper-se-184ch-essential-bva-13700-marignane-228700
Renault;Captur;2025;1;hybride;Automatique;17661;5;145;27799;62;https://www.autosphere.fr/fiche/auto-occasion-renault-captur-1-6-e-tech-full-hybrid-145ch-esprit-alpine-62220-carvin-250905
Renault;Clio;2023;3;essence;Manuelle;13196;5;90;15999;93;https://www.autosphere.fr/fiche/auto-occasion-renault-clio-1-0-tce-90ch-techno-93250-villemomble-v123399
Peugeot;3008;2025;1;essence;Automatique;3500;7;145;36999;86;https://www.autosphere.fr/fiche-mixte/auto-occasion-peugeot-3008-1-2-hybrid-145ch-gt-e-dcs6-86100-chatellerault-1231794
Dacia;Jogger;2022;4;essence;Manuelle;56321;5;110;18499;64;https://www.autosphere.fr/fiche-mixte/auto-occasion-dacia-jogger-1-0-tce-110ch-extreme-7-places-64200-bassussarry-49661
Peugeot;208;2024;2;essence;Manuelle;45265;5;100;14499;64;https://www.autosphere.fr/fiche-mixte/auto-occasion-peugeot-208-1-2-puretech-100ch-s-s-active-64200-bassussarry-49758
Renault;Clio;2023;3;essence;Manuelle;18493;4;65;14390;7;https://www.autosphere.fr/fiche-mixte/auto-occasion-renault-clio-1-0-sce-65ch-evolution-07430-davezieux-15145
Dacia;Duster;2025;1;gpl;Manuelle;9413;5;100;24499;59;https://www.autosphere.fr/fiche/auto-occasion-dacia-duster-1-0-eco-g-100ch-extreme-59320-sequedin-233913
Citroen;C3;2022;4;essence;Manuelle;34229;4;83;9999;16;https://www.autosphere.fr/fiche-mixte/auto-occasion-citroen-c3-1-2-puretech-83ch-s-s-feel-122-123g-16430-champniers-128218
Citroen;C3;2023;3;essence;Automatique;12674;6;110;13999;57;https://www.autosphere.fr/fiche/auto-occasion-citroen-c3-1-2-puretech-110ch-bvm6-max-57200-sarreguemines-008353
